region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
NE,natural_gas_combined_cycle,1,1,1,9.737139576881418e8,0.0,1.5315895233544213e8,0.0,5.412646381394817e7,3.1859237010495627e8,0.0,6.866990098411459e7,0.0,3.631734679015876e9,0.0,1.126872910023587e9,0.0,3.190345944112841e9,0.0,4.758607589039463e9,4.758607589039444e9,1.9073486328125e-5
NE,solar_pv,1,1,2,2.8264099576657705e9,0.0,6.216113810763173e8,0.0,0.0,0.0,0.0,0.0,0.0,3.3120093382606483e9,0.0,1.360120004814454e8,0.0,0.0,0.0,3.4480213387420936e9,3.448021338742088e9,5.7220458984375e-6
NE,onshore_wind,1,1,3,2.5564272599101644e9,0.0,1.1363213967532783e9,0.0,5.346112377574772e6,0.0,0.0,0.0,0.0,3.689713302894834e9,0.0,8.381466146174095e6,0.0,0.0,0.0,3.698094769041008e9,3.6980947690410175e9,-9.5367431640625e-6
NE,battery,1,0,4,1.836120656675058e8,8.578651042404158e8,4.589364080077823e7,2.144090697981514e8,3.9251120426662364e6,0.0,4.637419710144447e6,0.0,6.886707694225092e8,1.7746326631695719e9,0.0,9.991444922559343e7,0.0,0.0,0.0,1.8745471123951652e9,1.999013181682171e9,-1.244660692870059e8
