Region,Resource,Zone,Cluster,CapRes_1,AnnualSum
NE,natural_gas_combined_cycle,1,1,1.126872910023587e9,1.126872910023587e9
NE,solar_pv,1,1,1.360120004814454e8,1.360120004814454e8
NE,onshore_wind,1,1,8.381466146174095e6,8.381466146174095e6
NE,battery,1,0,9.991444922559343e7,9.991444922559343e7
