Resource,Zone,AnnualSum,Capacity,CapacityFactor
natural_gas_combined_cycle,1,1.5454147522039244e7,15639.244418368597,0.11280417674686014
solar_pv,1,4.224581971216779e7,24356.77266498369,0.19799758470696013
onshore_wind,1,6.582345328806657e7,27830.996212995076,0.2699900780984251
battery,1,2.448716188149408e7,9244.56879744491,0.0
