Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery
Zone,1,1,1,1
t1,0.0,0.0,0.0,21.38957462303608
t2,0.0,0.0,0.0,21.389574623036076
t3,0.0,0.0,0.0,21.389574623036076
t4,0.0,0.0,0.0,21.38957462303608
t5,0.0,0.0,0.0,21.38957462303608
t6,0.0,0.0,0.0,21.38957462303608
t7,0.0,0.0,0.0,21.389574623036076
t8,0.0,0.0,0.0,21.38957462303608
t9,0.0,0.0,0.0,21.38957462303608
t10,0.0,0.0,0.0,21.38957462303608
t11,0.0,0.0,0.0,21.38957462303608
t12,0.0,0.0,0.0,21.38957462303608
t13,0.0,0.0,0.0,21.38957462303608
t14,0.0,0.0,0.0,21.38957462303608
t15,0.0,0.0,0.0,21.38957462303608
t16,0.0,0.0,0.0,21.38957462303608
t17,0.0,0.0,0.0,21.38957462303608
t18,0.0,0.0,0.0,21.38957462303608
t19,0.0,0.0,0.0,21.38957462303608
t20,0.0,0.0,0.0,21.38957462303608
t21,0.0,0.0,0.0,21.389574623036076
t22,0.0,0.0,0.0,21.389574623036076
t23,0.0,0.0,0.0,21.38957462303608
t24,0.0,0.0,0.0,21.38957462303608
t25,0.0,0.0,0.0,21.38957462303608
t26,0.0,0.0,0.0,21.38957462303608
t27,0.0,0.0,0.0,21.38957462303608
t28,0.0,0.0,0.0,21.38957462303608
t29,0.0,0.0,0.0,21.38957462303608
t30,0.0,0.0,0.0,21.389574623036076
t31,0.0,0.0,0.0,21.38957462303608
t32,0.0,0.0,0.0,21.38957462303608
t33,0.0,0.0,0.0,21.38957462303608
t34,0.0,0.0,0.0,21.38957462303608
t35,0.0,0.0,0.0,21.38957462303608
t36,0.0,0.0,0.0,21.38957462303608
t37,0.0,0.0,0.0,21.38957462303608
t38,0.0,0.0,0.0,21.38957462303608
t39,0.0,0.0,0.0,21.38957462303608
t40,0.0,0.0,0.0,21.38957462303608
t41,0.0,0.0,0.0,21.38957462303608
t42,0.0,0.0,0.0,21.38957462303608
t43,0.0,0.0,0.0,21.38957462303608
t44,0.0,0.0,0.0,21.38957462303608
t45,0.0,0.0,0.0,21.38957462303608
t46,0.0,0.0,0.0,21.38957462303608
t47,0.0,0.0,0.0,21.38957462303608
t48,0.0,0.0,0.0,21.38957462303608
t49,0.0,0.0,0.0,21.38957462303608
t50,0.0,0.0,0.0,21.38957462303608
t51,0.0,0.0,0.0,21.38957462303608
t52,0.0,0.0,0.0,21.38957462303608
t53,0.0,0.0,0.0,21.38957462303608
t54,0.0,0.0,0.0,21.38957462303608
t55,0.0,0.0,0.0,21.38957462303608
t56,0.0,0.0,0.0,21.38957462303608
t57,0.0,0.0,0.0,21.38957462303608
t58,0.0,0.0,0.0,21.389574623036076
t59,0.0,0.0,0.0,21.38957462303608
t60,0.0,0.0,0.0,21.38957462303608
t61,0.0,0.0,0.0,21.38957462303608
t62,0.0,0.0,0.0,21.38957462303608
t63,0.0,0.0,0.0,21.38957462303608
t64,0.0,0.0,0.0,21.38957462303608
t65,0.0,0.0,0.0,21.38957462303608
t66,0.0,0.0,0.0,21.38957462303608
t67,0.0,0.0,0.0,21.38957462303608
t68,0.0,0.0,0.0,21.389574623036076
t69,0.0,0.0,0.0,21.38957462303608
t70,0.0,0.0,0.0,21.38957462303608
t71,0.0,0.0,0.0,21.38957462303608
t72,0.0,0.0,0.0,21.38957462303608
t73,0.0,0.0,0.0,21.38957462303608
t74,0.0,0.0,0.0,21.38957462303608
t75,0.0,0.0,0.0,21.38957462303608
t76,0.0,0.0,0.0,21.389574623036076
t77,0.0,0.0,0.0,21.389574623036076
t78,0.0,0.0,0.0,21.389574623036076
t79,0.0,0.0,0.0,21.38957462303608
t80,0.0,0.0,0.0,21.38957462303608
t81,0.0,0.0,0.0,21.38957462303608
t82,0.0,0.0,0.0,21.389574623036076
t83,0.0,0.0,0.0,21.389574623036076
t84,0.0,0.0,0.0,21.38957462303608
t85,0.0,0.0,0.0,21.38957462303608
t86,0.0,0.0,0.0,1.7968749999999913
t87,0.0,0.0,0.0,-175.80485245042695
t88,0.0,0.0,0.0,-190.05175358258984
t89,0.0,0.0,0.0,-190.05175358258984
t90,0.0,0.0,0.0,-190.05175358258984
t91,0.0,0.0,0.0,-190.05175358258984
t92,0.0,0.0,0.0,-190.05175358258984
t93,0.0,0.0,0.0,-190.05175358258984
t94,0.0,0.0,0.0,-190.05175358258984
t95,0.0,0.0,0.0,-190.05175358258984
t96,0.0,0.0,0.0,-190.05175358258984
t97,0.0,0.0,0.0,-190.05175358258984
t98,0.0,0.0,0.0,-190.05175358258984
t99,0.0,0.0,0.0,-190.05175358258984
t100,0.0,0.0,0.0,-190.05175358258984
t101,0.0,0.0,0.0,-190.05175358258984
t102,0.0,0.0,0.0,-190.05175358258984
t103,0.0,0.0,0.0,-190.05175358258984
t104,0.0,0.0,0.0,-190.05175358258984
t105,0.0,0.0,0.0,-190.05175358258984
t106,0.0,0.0,0.0,-175.80485245042695
t107,0.0,0.0,0.0,18.38013596093774
t108,0.0,0.0,0.0,21.38957462303608
t109,0.0,0.0,0.0,21.38957462303608
t110,0.0,0.0,0.0,21.38957462303608
t111,0.0,0.0,0.0,21.38957462303608
t112,0.0,0.0,0.0,21.38957462303608
t113,0.0,0.0,0.0,21.38957462303608
t114,0.0,0.0,0.0,21.38957462303608
t115,0.0,0.0,0.0,21.38957462303608
t116,0.0,0.0,0.0,-192.17456096150337
t117,0.0,0.0,0.0,-192.17456096150337
t118,0.0,0.0,0.0,-192.17456096150337
t119,0.0,0.0,0.0,-192.17456096150337
t120,0.0,0.0,0.0,-192.17456096150337
t121,0.0,0.0,0.0,-192.17456096150337
t122,0.0,0.0,0.0,-192.17456096150337
t123,0.0,0.0,0.0,-192.17456096150337
t124,0.0,0.0,0.0,-192.17456096150337
t125,0.0,0.0,0.0,-192.17456096150337
t126,0.0,0.0,0.0,-192.17456096150337
t127,0.0,0.0,0.0,-192.17456096150337
t128,0.0,0.0,0.0,-192.17456096150337
t129,0.0,0.0,0.0,-153.56080483939613
t130,0.0,0.0,0.0,-153.56080483939613
t131,0.0,0.0,0.0,-153.56080483939613
t132,0.0,0.0,0.0,-153.56080483939613
t133,0.0,0.0,0.0,-153.56080483939613
t134,0.0,0.0,0.0,-153.56080483939613
t135,0.0,0.0,0.0,-153.56080483939613
t136,0.0,0.0,0.0,-192.5661347685327
t137,0.0,0.0,0.0,-192.5661347685327
t138,0.0,0.0,0.0,-192.5661347685327
t139,0.0,0.0,0.0,-192.5661347685327
t140,0.0,0.0,0.0,-192.5661347685327
t141,0.0,0.0,0.0,-192.5661347685327
t142,0.0,0.0,0.0,-192.5661347685327
t143,0.0,0.0,0.0,-192.5661347685327
t144,0.0,0.0,0.0,-192.5661347685327
t145,0.0,0.0,0.0,-192.5661347685327
t146,0.0,0.0,0.0,-192.5661347685327
t147,0.0,0.0,0.0,-192.5661347685327
t148,0.0,0.0,0.0,-192.5661347685327
t149,0.0,0.0,0.0,-192.5661347685327
t150,0.0,0.0,0.0,-192.5661347685327
t151,0.0,0.0,0.0,-192.5661347685327
t152,0.0,0.0,0.0,-192.5661347685327
t153,0.0,0.0,0.0,-192.5661347685327
t154,0.0,0.0,0.0,21.38957462303608
t155,0.0,0.0,0.0,21.38957462303608
t156,0.0,0.0,0.0,21.38957462303608
t157,0.0,0.0,0.0,21.38957462303608
t158,0.0,0.0,0.0,21.38957462303608
t159,0.0,0.0,0.0,21.38957462303608
t160,0.0,0.0,0.0,21.389574623036076
t161,0.0,0.0,0.0,21.38957462303608
t162,0.0,0.0,0.0,21.38957462303608
t163,0.0,0.0,0.0,21.38957462303608
t164,0.0,0.0,0.0,21.38957462303608
t165,0.0,0.0,0.0,21.38957462303608
t166,0.0,0.0,0.0,21.389574623036076
t167,0.0,0.0,0.0,21.38957462303608
t168,0.0,0.0,0.0,21.38957462303608
t169,0.0,0.0,0.0,21.38957462303608
t170,0.0,0.0,0.0,21.38957462303608
t171,0.0,0.0,0.0,21.389574623036086
t172,0.0,0.0,0.0,21.389574623036086
t173,0.0,0.0,0.0,21.389574623036086
t174,0.0,0.0,0.0,21.389574623036086
t175,0.0,0.0,0.0,21.389574623036086
t176,0.0,0.0,0.0,21.38957462303608
t177,0.0,0.0,0.0,21.389574623036086
