Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
natural_gas_combined_cycle,1,0.0,0.0,14604.817612427203,14604.817612427203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_pv,1,0.0,0.0,34191.158050209946,34191.158050209946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
onshore_wind,1,0.0,0.0,26990.158095384817,26990.158095384817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery,1,0.0,0.0,10986.928344029202,10986.928344029202,0.0,0.0,45034.79890002658,45034.79890002658,0.0,0.0,0.0,0.0
Total,n/a,0.0,0.0,86773.06210205118,86773.06210205118,0.0,0.0,45034.79890002658,45034.79890002658,0.0,0.0,0.0,0.0
