region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
NE,natural_gas_combined_cycle,1,1,1,9.551550718527392e8,0.0,1.5023975877903864e8,0.0,5.466027592129673e7,3.173881734573893e8,0.0,6.056265224833814e7,0.0,3.9186112583627877e9,0.0,1.1053948306317804e9,0.0,3.4860001567357583e9,0.0,5.024006088994568e9,5.02400608899456e9,7.62939453125e-6
NE,solar_pv,1,1,2,2.916505781682908e9,0.0,6.414261250219386e8,0.0,0.0,0.0,0.0,0.0,0.0,3.4219031720038066e9,0.0,1.3602873470103905e8,0.0,0.0,0.0,3.5579319067048454e9,3.5579319067048464e9,-9.5367431640625e-7
NE,onshore_wind,1,1,3,2.6234433668714046e9,0.0,1.166109780511101e9,0.0,5.479470948202489e6,0.0,0.0,0.0,0.0,3.7856450099278407e9,0.0,9.387608402870083e6,0.0,0.0,0.0,3.795032618330711e9,3.795032618330708e9,2.86102294921875e-6
NE,battery,1,0,4,2.151680046894679e8,1.0130127664571978e9,5.3781014244022936e7,2.5318563941594943e8,4.579189394451344e6,0.0,5.410195409323484e6,0.0,8.373355034305094e8,2.1121310811846902e9,0.0,1.1298068407673551e8,0.0,0.0,0.0,2.225111765261426e9,2.382472313040922e9,-1.573605477794962e8
