,Network_zones,CO_2_Cap_Zone_1,CO_2_Max_Mtons_1
BASN,z1,0.0,0.0
CANO,z2,0.0,0.0
CASO,z3,0.0,0.0
FRCC,z4,0.0,0.0
ISNE,z5,1.0,17.12
MISC,z6,0.0,0.0
MISE,z7,0.0,0.0
MISS,z8,0.0,0.0
MISW,z9,0.0,0.0
NWPP,z10,0.0,0.0
NYCW,z11,1.0,11.12
NYUP,z12,1.0,8.05
PJMC,z13,0.0,0.0
PJMD,z14,1.0,14.51
PJME,z15,1.0,65.58
PJMW,z16,0.0,0.0
RMRG,z17,0.0,0.0
SPPC,z18,0.0,0.0
SPPN,z19,0.0,0.0
SPPS,z20,0.0,0.0
SRCA,z21,0.0,0.0
SRCE,z22,0.0,0.0
SRSE,z23,0.0,0.0
SRSG,z24,0.0,0.0
TRE,z25,0.0,0.0
TRE_WEST,z26,0.0,0.0
