Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery
Zone,1,1,1,1
t1,0.0,0.0,0.0,21.55129497655885
t2,0.0,0.0,0.0,21.55129497655885
t3,0.0,0.0,0.0,21.55129497655885
t4,0.0,0.0,0.0,21.55129497655885
t5,0.0,0.0,0.0,21.551294976558847
t6,0.0,0.0,0.0,21.551294976558847
t7,0.0,0.0,0.0,21.551294976558847
t8,0.0,0.0,0.0,21.551294976558847
t9,0.0,0.0,0.0,21.551294976558847
t10,0.0,0.0,0.0,21.551294976558847
t11,0.0,0.0,0.0,21.551294976558847
t12,0.0,0.0,0.0,21.551294976558847
t13,0.0,0.0,0.0,21.551294976558847
t14,0.0,0.0,0.0,21.551294976558847
t15,0.0,0.0,0.0,21.551294976558843
t16,0.0,0.0,0.0,21.551294976558843
t17,0.0,0.0,0.0,21.551294976558847
t18,0.0,0.0,0.0,21.551294976558847
t19,0.0,0.0,0.0,21.551294976558847
t20,0.0,0.0,0.0,21.551294976558847
t21,0.0,0.0,0.0,21.551294976558847
t22,0.0,0.0,0.0,21.551294976558847
t23,0.0,0.0,0.0,21.551294976558847
t24,0.0,0.0,0.0,21.551294976558847
t25,0.0,0.0,0.0,21.551294976558847
t26,0.0,0.0,0.0,21.551294976558847
t27,0.0,0.0,0.0,21.551294976558847
t28,0.0,0.0,0.0,21.551294976558847
t29,0.0,0.0,0.0,21.551294976558847
t30,0.0,0.0,0.0,21.551294976558847
t31,0.0,0.0,0.0,21.551294976558843
t32,0.0,0.0,0.0,21.551294976558847
t33,0.0,0.0,0.0,21.551294976558847
t34,0.0,0.0,0.0,21.551294976558847
t35,0.0,0.0,0.0,21.551294976558847
t36,0.0,0.0,0.0,21.551294976558847
t37,0.0,0.0,0.0,21.551294976558847
t38,0.0,0.0,0.0,21.551294976558847
t39,0.0,0.0,0.0,21.551294976558847
t40,0.0,0.0,0.0,21.551294976558847
t41,0.0,0.0,0.0,21.551294976558847
t42,0.0,0.0,0.0,21.551294976558847
t43,0.0,0.0,0.0,21.551294976558847
t44,0.0,0.0,0.0,21.551294976558847
t45,0.0,0.0,0.0,21.551294976558847
t46,0.0,0.0,0.0,21.551294976558847
t47,0.0,0.0,0.0,21.551294976558847
t48,0.0,0.0,0.0,21.551294976558847
t49,0.0,0.0,0.0,21.551294976558843
t50,0.0,0.0,0.0,21.551294976558847
t51,0.0,0.0,0.0,21.551294976558847
t52,0.0,0.0,0.0,21.551294976558843
t53,0.0,0.0,0.0,21.551294976558843
t54,0.0,0.0,0.0,21.551294976558843
t55,0.0,0.0,0.0,21.551294976558847
t56,0.0,0.0,0.0,21.551294976558847
t57,0.0,0.0,0.0,21.551294976558847
t58,0.0,0.0,0.0,21.551294976558847
t59,0.0,0.0,0.0,21.551294976558847
t60,0.0,0.0,0.0,21.551294976558847
t61,0.0,0.0,0.0,21.551294976558847
t62,0.0,0.0,0.0,21.551294976558847
t63,0.0,0.0,0.0,21.551294976558847
t64,0.0,0.0,0.0,21.551294976558843
t65,0.0,0.0,0.0,21.551294976558843
t66,0.0,0.0,0.0,21.551294976558847
t67,0.0,0.0,0.0,21.551294976558847
t68,0.0,0.0,0.0,21.551294976558847
t69,0.0,0.0,0.0,21.551294976558847
t70,0.0,0.0,0.0,21.551294976558847
t71,0.0,0.0,0.0,21.551294976558847
t72,0.0,0.0,0.0,21.551294976558847
t73,0.0,0.0,0.0,21.551294976558847
t74,0.0,0.0,0.0,21.551294976558847
t75,0.0,0.0,0.0,21.551294976558843
t76,0.0,0.0,0.0,21.551294976558843
t77,0.0,0.0,0.0,21.551294976558843
t78,0.0,0.0,0.0,21.551294976558847
t79,0.0,0.0,0.0,21.551294976558847
