Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,Total
Zone,1,1,1,1,0
AnnualSum,1.5475676240856785e7,4.219793538588093e7,6.605183204365754e7,2.4732008403921667e7,1.4845745207431692e8
t1,0.0,-0.0,6461.159854749812,7043.127276447511,13504.287131197323
t2,0.0,-0.0,19941.414407644832,-0.0,19941.414407644832
t3,0.0,-0.0,19490.414407644836,-0.0,19490.414407644836
t4,0.0,-0.0,19263.414407644832,-0.0,19263.414407644832
t5,0.0,-0.0,3735.5789632202595,7746.417722212286,11481.996685432547
t6,0.0,-0.0,17685.945790911286,858.2343083667726,18544.18009927806
t7,0.0,-0.0,5656.35328232324,7059.530562660797,12715.883844984037
t8,0.0,-0.0,17022.17147180831,1545.1214679182615,18567.292939726573
t9,0.0,4330.586249345431,2373.8065226137987,6989.510817842802,13693.90358980203
t10,0.0,10443.066334846484,209.41783550690346,5295.965118645722,15948.44928899911
t11,0.0,13992.24831997613,71.08653180038856,3759.039777934157,17822.374629710677
t12,0.0,15783.87928091949,60.3719262180614,2931.0816002536408,18775.33280739119
t13,0.0,15112.01767056573,124.77765687610584,3264.8095401014984,18501.604867543338
t14,0.0,14508.31593372612,0.0,3573.549236959356,18081.865170685476
t15,0.0,12203.051640229703,726.7107368360665,4302.326015289529,17232.088392355297
t16,0.0,8059.905043048186,4939.857334017585,4302.326015289529,17302.0883923553
t17,0.0,1562.8085284315719,3978.611717735369,8626.997080738945,14168.417326905885
t18,0.0,-0.0,15894.55412826902,4014.9301396879064,19909.484267956926
t19,0.0,-0.0,23309.31275676136,265.0508254417361,23574.363582203096
t20,0.0,-0.0,4626.585592355168,9385.414407644832,14012.0
t21,0.0,-0.0,22879.414407644832,-0.0,22879.414407644832
t22,0.0,-0.0,3386.5855923551676,9385.414407644832,12772.0
t23,0.0,-0.0,21262.414407644832,-0.0,21262.414407644832
t24,0.0,-0.0,1488.585592355168,9385.414407644832,10874.0
t25,0.0,-0.0,4633.165972553073,7388.62421754588,12021.790190098953
t26,0.0,-0.0,125.58559235516675,9385.414407644832,9510.999999999998
t27,0.0,-0.0,17836.541287484823,406.43656008000397,18242.977847564827
t28,0.0,-0.0,18593.414407644832,-0.0,18593.414407644832
t29,0.0,-0.0,18795.414407644836,-0.0,18795.414407644836
t30,0.0,-0.0,15331.678887685624,1988.8677599796035,17320.54664766523
t31,0.0,-0.0,11476.762377065776,4302.326015289529,15779.088392355305
t32,0.0,-0.0,1943.585592355168,9385.414407644832,11329.0
t33,0.0,3894.8499150942607,0.0,8797.782246275287,12692.632161369547
t34,0.0,8320.373131120114,304.41315269033885,6829.814061917189,15454.60034572764
t35,0.0,12054.560487216735,0.0,5406.426960214048,17460.987447430784
t36,0.0,13763.425887464344,9342.98852018049,-0.0,23106.414407644836
t37,0.0,13907.048478083445,0.0,4588.6829647806935,18495.73144286414
t38,0.0,13179.198400200203,0.0,4908.608003722315,18087.806403922517
t39,0.0,11385.133158059909,11568.281249584923,-0.0,22953.414407644832
t40,0.0,7772.659861809982,0.0,7693.377272917424,15466.037134727407
t41,0.0,2441.5840405247145,22009.83036712012,-0.0,24451.414407644836
t42,0.0,-0.0,11836.739245694383,6961.337580975224,18798.076826669607
t43,0.0,-0.0,6844.585592355168,9385.414407644832,16230.0
t44,0.0,-0.0,15233.733808038121,4994.840299803355,20228.574107841476
t45,0.0,-0.0,23134.66585042115,723.8742786118415,23858.54012903299
t46,0.0,-0.0,23574.414407644832,-0.0,23574.414407644832
t47,0.0,-0.0,15397.474856814917,3463.9697754149574,18861.444632229875
t48,0.0,-0.0,21193.414407644832,-0.0,21193.414407644832
t49,0.0,-0.0,11837.762377065772,4302.326015289529,16140.088392355301
t50,0.0,-0.0,9141.260688705815,5463.076859469509,14604.337548175325
t51,0.0,-0.0,13604.264065425734,3141.575171109549,16745.839236535285
t52,0.0,-0.0,11304.762377065774,4302.326015289529,15607.088392355303
t53,0.0,-0.0,11681.762377065774,4302.326015289529,15984.088392355303
t54,0.0,-0.0,12801.762377065774,4302.326015289529,17104.088392355305
t55,0.0,-0.0,8279.168436771452,7554.62298543669,15833.791422208142
t56,0.0,-0.0,10174.984263749859,7161.715071947488,17336.699335697347
t57,0.0,5226.401729817111,689.1838625380568,9385.414407644832,15301.0
t58,0.0,10613.46601863186,0.0,7088.974194506487,17702.440213138347
t59,0.0,14087.185286656553,10842.229120988282,-0.0,24929.414407644836
t60,0.0,15384.65716462233,0.0,4785.378621511252,20170.03578613358
t61,0.0,15703.548001420671,9188.86640622416,-0.0,24892.414407644832
t62,0.0,15109.583389368798,9760.831018276032,-0.0,24870.41440764483
t63,0.0,13398.283707924254,5923.472986602549,2744.828856559014,22066.585551085816
t64,0.0,9204.017205607124,7215.745171458649,4302.326015289529,20722.0883923553
t65,0.0,3337.3995209963946,14303.36285606938,4302.326015289529,21943.088392355305
t66,0.0,-0.0,12534.807822782015,7522.803292431408,20057.611115213425
t67,0.0,-0.0,8844.585592355168,9385.414407644832,18230.0
t68,0.0,-0.0,8538.585592355166,9385.414407644832,17924.0
t69,0.0,-0.0,20642.639163165135,3041.887622239849,23684.526785404985
t70,0.0,-0.0,25703.414407644836,-0.0,25703.414407644836
t71,0.0,-0.0,24337.414407644832,-0.0,24337.414407644832
t72,0.0,-0.0,4370.585592355168,9385.414407644832,13756.0
t73,0.0,-0.0,22397.414407644832,-0.0,22397.414407644832
t74,0.0,-0.0,22006.414407644832,-0.0,22006.414407644832
t75,0.0,-0.0,13202.762377065774,4302.326015289529,17505.088392355305
t76,0.0,-0.0,13224.762377065772,4302.326015289529,17527.0883923553
t77,0.0,-0.0,13564.762377065776,4302.326015289529,17867.088392355305
t78,0.0,-0.0,4454.585592355167,9385.414407644832,13840.0
t79,0.0,-0.0,21015.428723564997,2065.492842039917,23080.921565604913
t80,0.0,-0.0,7421.585592355166,9385.414407644832,16807.0
t81,-0.0,5542.85828541852,10715.287253411125,4977.634434407594,21235.779973237237
t82,-0.0,10959.133948596476,15209.280459048356,-0.0,26168.414407644832
t83,-0.0,14717.664116662438,11412.750290982398,-0.0,26130.414407644836
t84,-0.0,16531.203608378204,431.50329868313975,4501.853750291745,21464.56065735309
t85,-0.0,16377.843892971363,1145.973954098844,4102.798280287313,21626.61612735752
t86,-0.0,15779.010718525622,628.8687162192853,1123.4606352089163,17531.34006995382
t87,2957.7796041146185,12853.004719811059,265.21567607432297,-0.0,16076.0
t88,7288.249391903031,8137.802041350071,379.4283320594623,436.5202346874364,16242.0
t89,7288.249391903031,681.5987351414956,175.89385451337222,9232.2580184421,17378.0
t90,7288.249391903031,-0.0,1628.3362004521368,9385.414407644832,18302.0
t91,7288.249391903031,-0.0,6283.400681259048,4588.349926837921,18160.0
t92,7288.249391903031,-0.0,7722.191690213872,2726.5589178830946,17737.0
t93,5370.155436193144,-0.0,11687.844563806855,0.0,17058.0
t94,4982.7221514348175,-0.0,10953.277848565183,0.0,15936.0
t95,1882.3343370775958,-0.0,13002.781893745165,0.0,14885.116230822761
t96,1882.3343370775958,-0.0,11770.186458937564,0.0,13652.52079601516
t97,3200.5285588331367,-0.0,9135.471441166865,0.0,12336.000000000002
t98,1882.3343370775958,-0.0,14653.757513969807,0.0,16536.091851047404
t99,1882.3343370775958,-0.0,10259.220030373488,0.0,12141.554367451085
t100,1882.3343370775958,-0.0,11896.354623723535,0.0,13778.688960801132
t101,1882.3343370775958,-0.0,12140.928384372675,0.0,14023.262721450272
t102,2718.1635456592394,-0.0,10171.83645434076,0.0,12890.0
t103,4022.0819168324697,-0.0,6394.79091873959,4330.12716442794,14747.0
t104,4022.0819168324697,-0.0,7147.898636457579,4665.019446709952,15835.000000000002
t105,4022.0819168324697,2514.612476432732,8335.285198613481,1079.0204081213183,15951.000000000002
t106,1766.24321043509,6825.72447620269,7429.03231336222,0.0,16021.0
t107,0.0,10642.677392995067,6914.448322391984,0.0,17557.12571538705
t108,0.0,14393.904717470226,5873.898778822428,1361.1176055036,21628.92110179625
t109,0.0,13020.9701223995,5978.353043433915,2958.5456209057083,21957.868786739124
t110,0.0,11816.000929917212,9906.77517636275,1558.819150682435,23281.5952569624
t111,0.0,9671.399195418435,3211.4335224462743,5917.7908448900625,18800.623562754772
t112,0.0,7176.260968561175,17641.15343908366,-0.0,24817.414407644836
t113,-0.0,2183.5502336497198,21679.16960095975,967.3472865176809,24830.06712112715
t114,-0.0,-0.0,22703.891545634466,2083.261431005183,24787.15297663965
t115,-0.0,-0.0,18202.762377065774,4302.326015289529,22505.088392355305
t116,3276.64869741983,-0.0,12859.669154584373,889.6821479957957,17026.0
t117,2943.0079714857466,-0.0,13446.992028514254,0.0,16390.0
t118,5119.763589718485,-0.0,2725.7121203461684,7494.524289935347,15340.0
t119,3467.2747558197125,-0.0,10459.725244180287,0.0,13927.0
t120,5119.763589718485,-0.0,4708.826357660966,2879.41005262055,12708.0
t121,2555.1882345001486,-0.0,9353.811765499851,0.0,11909.0
t122,3100.43147468531,-0.0,8375.568525314691,0.0,11476.000000000002
t123,5119.763589718485,-0.0,4264.706036163588,1869.530374117927,11254.0
t124,5119.763589718485,-0.0,1956.7222542243644,4122.51415605715,11199.0
t125,5119.763589718485,-0.0,4166.757066797385,2185.47934348413,11472.0
t126,5119.763589718485,-0.0,5862.55102331247,1459.6853869690456,12442.0
t127,5119.763589718485,-0.0,6780.944874482428,2364.2915357990883,14265.0
t128,4339.516821864555,-0.0,6524.594783070152,4493.888395065294,15358.000000000002
t129,1062.8681244447246,2490.269664463393,12150.259041441386,0.0,15703.396830349504
t130,1062.8681244447246,7154.352437788769,14855.635267425812,0.0,23072.855829659307
t131,1062.8681244447246,12259.040107759185,7052.481790264565,0.0,20374.390022468473
t132,1062.8681244447246,15092.543420990258,7119.928389747569,0.0,23275.33993518255
t133,1062.8681244447246,14476.670278165979,6074.916914990577,0.0,21614.45531760128
t134,1062.8681244447246,10372.472180135403,8414.682289239503,0.0,19850.02259381963
t135,1062.8681244447246,8882.692087611847,4965.536066570988,0.0,14911.09627862756
t136,3323.195091500223,4849.088144292354,3735.595981884903,2777.120782322521,14685.0
t137,3531.7608860242162,367.57646073702085,7896.606288746769,3745.056364491994,15541.0
t138,3531.7608860242162,-0.0,11500.200447925692,1330.03866605009,16361.999999999998
t139,3531.7608860242162,-0.0,9772.390779111729,2795.848334864056,16100.000000000002
t140,3531.7608860242162,-0.0,4891.184020639931,7212.055093335853,15635.0
t141,3531.7608860242162,-0.0,8390.869830771217,3094.3692832045676,15017.0
t142,3531.7608860242162,-0.0,8847.04968636634,1833.1894276094438,14212.0
t143,2120.4622599973854,-0.0,10995.537740002614,0.0,13116.0
t144,1652.8640946593332,-0.0,11301.958365982675,0.0,12954.822460642008
t145,1652.8640946593332,-0.0,10057.438341237757,0.0,11710.30243589709
t146,1652.8640946593332,-0.0,12457.506711980917,0.0,14110.37080664025
t147,1652.8640946593332,-0.0,14416.846109245229,0.0,16069.710203904562
t148,1652.8640946593332,-0.0,13496.840748968727,0.0,15149.70484362806
t149,1652.8640946593332,-0.0,9422.610862032408,0.0,11075.474956691742
t150,3531.7608860242162,-0.0,2818.132163401842,4415.106950573943,10765.000000000002
t151,3531.7608860242162,-0.0,1917.9211548540663,6028.317959121717,11478.0
t152,3531.7608860242162,-0.0,2044.299248351598,6653.9398656241865,12230.0
t153,2260.3269670554982,4583.751493826558,4474.462521525527,1682.4590175924156,13001.0
t154,0.0,9900.221627930223,7285.464284825921,-0.0,17185.685912756144
t155,0.0,13334.992396803973,3350.737697727258,3148.342156556801,19834.072251088033
t156,0.0,15545.319723619965,6059.710832906089,634.1919255593896,22239.222482085443
t157,0.0,15832.564904858169,0.0,3396.424751393332,19228.989656251502
t158,0.0,15362.748633849924,6982.665773794908,-0.0,22345.414407644832
t159,0.0,12397.794135984417,7744.2755386952285,1003.672366482593,21145.742041162237
t160,0.0,7278.500778832399,0.0,7502.956814406217,14781.457593238616
t161,0.0,1346.1575019044537,9866.526945234631,6008.3649802528735,17221.049427391958
t162,0.0,-0.0,8175.797844067714,8000.308281788559,16176.106125856273
t163,0.0,-0.0,24003.414407644832,-0.0,24003.414407644832
t164,0.0,-0.0,23534.414407644832,-0.0,23534.414407644832
t165,0.0,-0.0,5880.110346486715,8604.652030579056,14484.76237706577
t166,0.0,-0.0,22448.414407644832,-0.0,22448.414407644832
t167,0.0,-0.0,2838.5855923551676,9385.414407644832,12224.0
t168,0.0,-0.0,1916.5855923551671,9385.414407644832,11302.0
t169,0.0,-0.0,20034.414407644832,-0.0,20034.414407644832
t170,0.0,-0.0,11272.61257930038,4182.400914172226,15455.013493472605
t171,0.0,-0.0,651.5855923551683,9385.414407644832,10037.0
t172,0.0,-0.0,19355.414407644832,-0.0,19355.414407644832
t173,0.0,-0.0,16538.1097911554,1450.1523082447166,17988.262099400115
t174,0.0,-0.0,984.5855923551667,9385.414407644832,10369.999999999998
t175,0.0,-0.0,17623.116501818306,1290.6489529132639,18913.76545473157
t176,0.0,1908.4764583961876,98.10913395897947,9385.414407644832,11392.0
t177,0.0,8305.76744393851,13220.646963706322,-0.0,21526.414407644832
t178,0.0,13198.672649775675,697.0466884268038,4072.3475347211775,17968.066872923657
t179,0.0,16906.08291270602,0.0,2662.6657474694052,19568.748660175424
t180,0.0,18094.012136809775,0.0,2082.2011354175293,20176.213272227305
t181,0.0,18227.89760264114,0.0,1944.2584025018466,20172.156005142988
t182,0.0,18089.143574415906,0.0,1891.135416614463,19980.27899103037
t183,0.0,16757.591759693056,0.0,2445.9113239758876,19203.503083668944
t184,0.0,13057.484340353507,0.0,4285.9650336456625,17343.44937399917
t185,0.0,8167.013415713278,5293.748961352495,4302.326015289529,17763.0883923553
t186,0.0,1850.0537096697735,8323.573620864594,6554.893538555233,16728.5208690896
t187,0.0,-0.0,9375.524824726099,7323.944791459367,16699.469616185466
t188,0.0,-0.0,6890.935802128224,8410.739302758306,15301.67510488653
t189,0.0,-0.0,6864.431272132073,7007.568727867927,13872.0
t190,0.0,-0.0,12738.301206429971,882.4901253744997,13620.79133180447
t191,0.0,-0.0,9316.992865218966,2940.007134781034,12257.0
t192,0.0,-0.0,18403.650653053053,0.0,18403.650653053053
t193,0.0,-0.0,20179.414407644836,-0.0,20179.414407644836
t194,0.0,-0.0,1064.585592355167,9385.414407644832,10449.999999999998
t195,0.0,-0.0,10632.670688185115,4502.37185972986,15135.042547914974
t196,0.0,-0.0,19670.414407644836,-0.0,19670.414407644836
t197,0.0,-0.0,19025.942387885574,460.73600987962806,19486.6783977652
t198,0.0,-0.0,16615.923085974177,2044.7456608353275,18660.668746809504
t199,0.0,-0.0,18002.18911277352,1908.1126474356554,19910.30176020918
t200,0.0,1280.4319095872381,11914.835498400906,4740.573499828344,17935.840907816488
t201,0.0,6592.033481297035,0.0,8384.190463173898,14976.223944470934
t202,0.0,11414.344532423116,0.0,6187.034937610858,17601.379470033975
t203,0.0,17458.664744410024,0.0,3259.874831617405,20718.53957602743
t204,0.0,16806.277383631736,0.0,3561.0685120065486,20367.345895638286
t205,0.0,18028.28654449256,0.0,2832.563931576137,20860.850476068696
t206,0.0,18227.89760264114,0.0,2604.7584025018464,20832.656005142988
t207,0.0,17312.60787259399,222.71944704845126,2848.543544001195,20383.87086364364
t208,0.0,13558.946266921896,1008.816110143881,4302.326015289529,18870.088392355305
t209,0.0,8617.35543714605,0.0,7486.529485249391,16103.884922395442
t210,0.0,2142.1674533018427,20452.001863683654,1118.122545329668,23712.291862315164
t211,0.0,-0.0,16873.762377065774,4302.326015289529,21176.088392355305
t212,0.0,-0.0,16478.762377065774,4302.326015289529,20781.088392355305
t213,0.0,-0.0,15399.21958260155,4539.597412521642,19938.81699512319
t214,0.0,-0.0,10440.193989086754,6555.110209279039,16995.304198365793
t215,0.0,-0.0,18739.873559509015,1812.2704240679086,20552.143983576923
t216,-0.0,-0.0,12684.762377065774,4302.326015289529,16987.088392355305
t217,-0.0,-0.0,11134.949634162056,4733.232386741387,15868.182020903443
t218,-0.0,-0.0,11043.18267150723,4602.615868068801,15645.79853957603
t219,-0.0,-0.0,8914.484771028985,5599.464818307923,14513.94958933691
t220,-0.0,-0.0,14287.855918397174,2941.2792446238295,17229.135163021005
t221,-0.0,-0.0,13250.338890233423,3635.037758705705,16885.376648939127
t222,1907.1812946557634,-0.0,7619.1024527806685,6002.0653301042,15528.349077540632
t223,3104.79113313148,-0.0,1232.7944592236884,9385.414407644832,13723.0
t224,4075.1737065294087,1151.4150061497407,20.996879676017215,9385.414407644832,14632.999999999998
t225,1907.1812946557634,7229.81515489372,529.2122855526956,5849.778195880821,15515.986930983
t226,1907.1812946557634,12565.759538572858,-0.0,506.982538384007,14979.92337161263
t227,1907.1812946557634,15961.581808295665,6.353111645996582,65.9543417329287,17941.070556330353
t228,-0.0,16587.19207590768,2895.6497907814037,2310.2862704778745,21793.128137166957
t229,0.0,16557.980701544475,0.0,3658.716853050178,20216.69755459465
t230,0.0,16360.80392459283,0.0,3700.3052415260013,20061.109166118833
t231,0.0,12322.331418879467,1257.6381918287273,5039.722398468318,18619.69200917651
t232,0.0,9225.92573637953,0.0,7219.244335632651,16445.17007201218
t233,0.0,4875.865237458627,19208.549170186205,-0.0,24084.414407644832
t234,0.0,365.1421795400869,17458.976454198597,3688.1478869530724,21512.266520691755
t235,0.0,-0.0,6849.585592355167,9385.414407644832,16235.0
t236,0.0,-0.0,22112.684023450234,1525.8651920972986,23638.549215547533
t237,0.0,-0.0,11153.769495565968,6652.322456039433,17806.091951605402
t238,0.0,-0.0,19228.416242803647,2106.4990824205925,21334.91532522424
t239,0.0,-0.0,17262.888652094276,2436.7628777752775,19699.651529869552
t240,0.0,-0.0,11869.303309183691,4554.55554923057,16423.858858414264
t241,0.0,-0.0,15006.043624985012,2592.1853913299105,17598.229016314923
