Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
natural_gas_combined_cycle,1,0.0,0.0,15202.816397165572,15202.816397165572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_pv,1,0.0,0.0,30168.195596154495,30168.195596154495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
onshore_wind,1,0.0,0.0,28851.984614895293,28851.984614895293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery,1,0.0,0.0,8524.141616608154,8524.141616608154,0.0,0.0,33396.69535996207,33396.69535996207,0.0,0.0,0.0,0.0
Total,n/a,0.0,0.0,82747.13822482352,82747.13822482352,0.0,0.0,33396.69535996207,33396.69535996207,0.0,0.0,0.0,0.0
