Zone Number,Zone Code,Zone Name,Elec Sales (BkWh),Net Energy for Load (BkWh),2025 Dist Loss [%],Sales (BkWh),2025_Sales_GWh,Elec Sales (BkWh),Net Energy for Load (BkWh),2030 Dist Loss [%],2030Sales (BkWh),2030_Sales_GWh,Elec Sales (BkWh),Net Energy for Load (BkWh),2035 Dist Loss [%],Sales (BkWh),2035_Sales_GWh,Elec Sales (BkWh),Net Energy for Load (BkWh),2040 Dist Loss [%],Sales (BkWh),2040_Sales_GWh,Elec Sales (BkWh),Net Energy for Load (BkWh),2045 Dist Loss [%],Sales (BkWh),2045_Sales_GWh,Elec Sales (BkWh),Net Energy for Load (BkWh),2050 Dist Loss [%],Sales (BkWh),2050_Sales_GWh
z11,NYCW,NPCC/NYC & Long Island,65.79,71.17,7.559364901,65.79,65790,66.74,72.35,7.753973739,66.74,66740,68.18,74.06,7.939508507,68.18,68180,69.93,76.12,8.131897005,69.93,69930,72.51,79,8.215189873,72.51,72510,76.72,83.46,8.075724898,76.72,76720
z12,NYUP,NPCC/Upstate NY,75.1,80.38,6.568798209,75.1,75100,76.7,82.14,6.622839055,76.7,76700,78.61,84.25,6.694362018,78.61,78610,81.09,86.99,6.78238878,81.09,81090,84.23,90.43,6.856131815,84.23,84230,88.69,95.2,6.838235294,88.69,88690
z13,PJMC,PJM/Commonwealth Edison,89.09,94.82,6.043028897,89.09,89090,91.57,97.53,6.110940224,91.57,91570,93.37,99.48,6.141938078,93.37,93370,94.93,101.22,6.21418692,94.93,94930,97.03,103.51,6.260264709,97.03,97030,100.17,106.86,6.260527793,100.17,100170
z14,PJMD,PJM/Dominion,103.36,109.69,5.770808643,103.36,103360,108.04,114.64,5.757152826,108.04,108040,112.32,119.17,5.748090962,112.32,112320,116.55,123.64,5.734390165,116.55,116550,122.22,129.62,5.708995525,122.22,122220,128.67,136.4,5.667155425,128.67,128670
z15,PJME,PJM/East,256.16,274.6,6.715222141,256.16,256160,263.35,282.39,6.742448387,263.35,263350,271.03,290.7,6.766425869,271.03,271030,280.27,300.74,6.806543858,280.27,280270,292.16,313.65,6.851586163,292.16,292160,307.71,330.35,6.853337369,307.71,307710
z16,PJMW,PJM/West,297.63,318.37,6.514432893,297.63,297630,307.53,329.05,6.540039508,307.53,307530,315.12,337.27,6.567438551,315.12,315120,323.02,345.88,6.609228634,323.02,323020,333.13,356.94,6.670588894,333.13,333130,346.35,371.28,6.71460892,346.35,346350
z17,RMRG,WECC/Rockies,72.73,77.77,6.480648065,72.73,72730,76.18,81.52,6.550539745,76.18,76180,79.91,85.52,6.559869036,79.91,79910,83.3,89.24,6.656207978,83.3,83300,87.83,94.2,6.762208068,87.83,87830,92.48,99.27,6.8399315,92.48,92480
z18,SPPC,Southwest Power Pool/Central,69.87,75.94,7.993152489,69.87,69870,71.91,78.24,8.090490798,71.91,71910,74.43,81.02,8.133794125,74.43,74430,76.48,83.32,8.20931349,76.48,76480,79.19,86.25,8.185507246,79.19,79190,82.61,89.99,8.200911212,82.61,82610
z19,SPPN,Southwest Power Pool/North,52.74,56.96,7.408707865,52.74,52740,54.33,58.71,7.460398569,54.33,54330,56.11,60.65,7.48557296,56.11,56110,57.63,62.32,7.525673941,57.63,57630,59.58,64.42,7.51319466,59.58,59580,61.95,66.99,7.523510972,61.95,61950
z20,SPPS,Southwest Power Pool/South,132.34,143.42,7.725561289,132.34,132340,138.38,150.02,7.758965471,138.38,138380,143.59,155.73,7.795543569,143.59,143590,149.8,162.49,7.809711367,149.8,149800,155.86,169.31,7.944008033,155.86,155860,163.77,178.07,8.030549784,163.77,163770
z21,SRCA,SERC Reliability Corporation/East,212.15,225.45,5.899312486,212.15,212150,222.24,236.3,5.950063479,222.24,222240,230.82,245.56,6.002606288,230.82,230820,239.72,255.17,6.054787005,239.72,239720,251.34,267.73,6.121839166,251.34,251340,264.37,281.96,6.238473542,264.37,264370
z22,SRCE,SERC Reliability Corporation/Central,189.17,199.09,4.982671154,189.17,189170,196.39,206.7,4.987905177,196.39,196390,200.95,211.52,4.997163389,200.95,200950,205.7,216.54,5.00600351,205.7,205700,212.4,223.66,5.034427256,212.4,212400,220.72,232.52,5.074832272,220.72,220720
z23,SRSE,SERC Reliability Corporation/Southeast,227.83,243.95,6.607911457,227.83,227830,237.95,254.88,6.642341494,237.95,237950,245.88,263.5,6.686907021,245.88,245880,254.19,272.52,6.726111845,254.19,254190,265.21,284.62,6.819619141,265.21,265210,277.87,298.52,6.917459467,277.87,277870
z24,SRSG,WECC/Southwest,112.17,121.84,7.936638214,112.17,112170,117.62,128.02,8.123730667,117.62,117620,123.3,134.39,8.252102091,123.3,123300,128.58,140.44,8.444887496,128.58,128580,135.21,148.05,8.672745694,135.21,135210,142.27,156.22,8.929714505,142.27,142270
z25,TRE,Texas Reliability Entity,390.48,407.35,4.141401743,390.484375,390484.375,408.24,425.97,4.162554339,408.238037,408238.037,423.38,441.9,4.1893421,423.382935,423382.935,441.89,461.21,4.189587995,441.885468,441885.468,459.16,479.82,4.305641591,459.159393,459159.393,482.79,505.15,4.42581508,482.791443,482791.443
