ipm_region,state,Population of state in Zone,Zone Population,State Population,Zone Prop,state_prop,region,dg_region,frac_dg_in_region
MIS_MNWI,Michigan,13950.21642,6600616.941,9986857,0.002113472,0.001396858,MIS_MNWI,Michigan,0.001396858
MIS_MNWI,Minnesota,5534498.746,6600616.941,5639632,0.838482038,0.981358136,MIS_MNWI,Minnesota,0.981358136
MIS_MNWI,North Dakota,207.1435443,6600616.941,762062,3.14E-05,0.00027182,MIS_MNWI,North Dakota,0.00027182
MIS_MNWI,South Dakota,228156.0615,6600616.941,884659,0.034565869,0.257902832,MIS_MNWI,South Dakota,0.257902832
MIS_MNWI,Wisconsin,823759.3916,6600616.941,5822434,0.124800363,0.141480245,MIS_MNWI,Wisconsin,0.141480245
MIS_MO,Illinois,759.0194056,3152190.181,12671821,0.000240791,5.99E-05,MIS_MO,Illinois,5.99E-05
MIS_MO,Iowa,33787.19765,3152190.181,3155070,0.010718642,0.010708858,MIS_MO,Iowa,0.010708858
MIS_MO,Missouri,3117643.964,3152190.181,6137428,0.989040567,0.507972389,MIS_MO,Missouri,0.507972389
MIS_WOTA,Louisiana,333325.333,1589840.613,4648794,0.209659591,0.071701463,MIS_WOTA,Louisiana,0.071701463
MIS_WOTA,Texas,1256515.28,1589840.613,28995881,0.790340409,0.043334268,MIS_WOTA,Texas,0.043334268
MIS_WUMS,Illinois,4966.610884,5288593.312,12671821,0.000939118,0.000391941,MIS_WUMS,Illinois,0.000391941
MIS_WUMS,Iowa,325.8693708,5288593.312,3155070,6.16E-05,0.000103284,MIS_WUMS,Iowa,0.000103284
MIS_WUMS,Michigan,284891.8963,5288593.312,9986857,0.053869125,0.028526682,MIS_WUMS,Michigan,0.028526682
MIS_WUMS,Wisconsin,4998408.935,5288593.312,5822434,0.94513014,0.858474125,MIS_WUMS,Wisconsin,0.858474125
NENGREST,Connecticut,1802.030626,9926492.422,3565287,0.000181538,0.000505438,NENGREST,Connecticut,0.000505438
NENGREST,Maine,691.7435339,9926492.422,1344212,6.97E-05,0.000514609,NENGREST,Maine,0.000514609
NENGREST,Massachusetts,6891608.356,9926492.422,6892503,0.694264204,0.9998702,NENGREST,Massachusetts,0.9998702
NENGREST,New Hampshire,1357834.025,9926492.422,1359711,0.136788905,0.998619578,NENGREST,New Hampshire,0.998619578
NENGREST,New York,225.8947595,9926492.422,19453561,2.28E-05,1.16E-05,NENGREST,New York,1.16E-05
NENGREST,Rhode Island,1050932.243,9926492.422,1059361,0.10587146,0.992043546,NENGREST,Rhode Island,0.992043546
NENGREST,Vermont,623398.1296,9926492.422,623989,0.062801451,0.999053076,NENGREST,Vermont,0.999053076
NENG_CT,Connecticut,3534934.952,3537946.797,3565287,0.999148703,0.991486787,NENG_CT,Connecticut,0.991486787
NENG_CT,Massachusetts,945.1570476,3537946.797,6892503,0.000267148,0.000137128,NENG_CT,Massachusetts,0.000137128
NENG_CT,New York,1463.92182,3537946.797,19453561,0.000413777,7.53E-05,NENG_CT,New York,7.53E-05
NENG_CT,Rhode Island,602.7661728,3537946.797,1059361,0.000170372,0.00056899,NENG_CT,Rhode Island,0.00056899
NENG_ME,Maine,1341679.815,1342237.753,1344212,0.999584323,0.998116231,NENG_ME,Maine,0.998116231
NENG_ME,New Hampshire,557.937856,1342237.753,1359711,0.000415677,0.000410336,NENG_ME,New Hampshire,0.000410336
NY_Z_A,New York,1358541.449,1358541.449,19453561,1,0.069835104,NY_Z_A,New York,0.069835104
NY_Z_B,New York,1034883.035,1034883.035,19453561,1,0.053197614,NY_Z_B,New York,0.053197614
NY_Z_C&E,New York,2047350.13,2047516.781,19453561,0.999918608,0.105242949,NY_Z_C&E,New York,0.105242949
