ipm_region,state,Population of state in Zone,Zone Population,State Population,Zone Prop,state_prop,region,dg_region,frac_dg_in_region
PJM_NJLand,New Jersey,3594228.513,3612265.704,8882190,0.995006682,0.404655666,PJM_NJLand,New Jersey,0.404655666
PJM_NJLand,New York,6310.275119,3612265.704,19453561,0.001746902,0.000324376,PJM_NJLand,New York,0.000324376
PJM_NJLand,Pennsylvania,11726.91621,3612265.704,12801989,0.003246416,0.000916023,PJM_NJLand,Pennsylvania,0.000916023
PJM_PECO,Delaware,3147.280915,4108424.816,973764,0.000766055,0.003232078,PJM_PECO,Delaware,0.003232078
PJM_PECO,New Jersey,5054.917712,4108424.816,8882190,0.001230379,0.000569107,PJM_PECO,New Jersey,0.000569107
PJM_PECO,Pennsylvania,4100222.617,4108424.816,12801989,0.998003566,0.320280123,PJM_PECO,Pennsylvania,0.320280123
PJM_PENE,New York,2416.918912,1649457.728,19453561,0.001465281,0.00012424,PJM_PENE,New York,0.00012424
PJM_PENE,Pennsylvania,1647040.809,1649457.728,12801989,0.998534719,0.128655071,PJM_PENE,Pennsylvania,0.128655071
PJM_SMAC,District of Columbia,630922.3501,5395697.06,705749,0.116930647,0.89397555,PJM_SMAC,District of Columbia,0.89397555
PJM_SMAC,Maryland,4761591.031,5395697.06,6045680,0.882479312,0.787602227,PJM_SMAC,Maryland,0.787602227
PJM_SMAC,Virginia,3183.679747,5395697.06,8535519,0.00059004,0.000372992,PJM_SMAC,Virginia,0.000372992
PJM_WMAC,New Jersey,1065.415626,3365068.659,8882190,0.00031661,0.00011995,PJM_WMAC,New Jersey,0.00011995
PJM_WMAC,New York,177.4366629,3365068.659,19453561,5.27E-05,9.12E-06,PJM_WMAC,New York,9.12E-06
PJM_WMAC,Pennsylvania,3363825.807,3365068.659,12801989,0.999630661,0.262758061,PJM_WMAC,Pennsylvania,0.262758061
PJM_West,Indiana,1398225.852,11227649.74,6732219,0.124534153,0.207691677,PJM_West,Indiana,0.207691677
