utility_id_ferc1,utility_name_ferc1,utility_id_pudl,utility_id_pudl_label
1,missing respondent 0,6757,missing respondent 0
2,Blackstone Valley Electric Company,44,Blackstone Valley Electric Company
3,Boston Edison Company,45,Boston Edison Company
4,Cambridge Electric Light Company,50,Cambridge Electric Light Company
5,CANAL ELECTRIC COMPANY,51,CANAL ELECTRIC COMPANY
6,Central Illinois Light Company,56,Central Illinois Light Company
7,Central Illinois Public Service Company,57,Central Illinois Public Service Company
8,Century Power Corporation,60,Century Power Corporation
9,CITIZENS' ELECTRIC COMPANY,67,CITIZENS' ELECTRIC COMPANY
10,CITIZENS COMMUNCIATIONS COMPANY,64,CITIZENS COMMUNCIATIONS COMPANY
11,Commonwealth Electric Company,74,Commonwealth Electric Company
12,Connecticut Valley Electric Company Inc.,76,Connecticut Valley Electric Company Inc.
13,Eastern Edison Company,101,Eastern Edison Company
14,Edison Sault Electric Company,102,Edison Sault Electric Company
15,Exeter & Hampton Electric Company,116,Exeter & Hampton Electric Company
16,Great Bay Power Corporation,127,Great Bay Power Corporation
17,Holyoke Power and Electric Company,137,Holyoke Power and Electric Company
18,Holyoke Water Power Company,138,Holyoke Water Power Company
19,IES Utilities Inc.,141,IES Utilities Inc.
20,Illinois Power Company,142,Illinois Power Company
21,Interstate Power Company,151,Interstate Power Company
22,Iowa-Illinois Gas and Electric Company,152,Iowa-Illinois Gas and Electric Company
23,Kanawha Valley Power Company,157,Kanawha Valley Power Company
24,"Long Sault, Inc.",168,"Long Sault, Inc."
25,"MAUI ELECTRIC COMPANY, LIMITED",176,Maui Electric Co Ltd
26,Midwest Power Systems Inc.,189,Midwest Power Systems Inc.
27,"Montana Power Company, The",192,"Montana Power Company, The"
28,Montana-Dakota Utilities Company,178,"MDU Resources Group, Inc."
29,Montaup Electric Company,194,Montaup Electric Company
30,Nantahala Power and Light Company,201,Nantahala Power and Light Company
31,Newport Electric Corporation,215,Newport Electric Corporation
32,North Atlantic Energy Corporation,217,North Atlantic Energy Corporation
33,"Pepperell Power Association, Limited Partnership",254,"Pepperell Power Association, Limited Partnership"
34,St. Joseph Light & Power Company,304,St. Joseph Light & Power Company
35,Savannah Electric and Power Company,285,Savannah Electric and Power Company
