IPM Regions,,,,,,,,,,State,State Tax Rate,,Region,Tax Rate
6.644518554,6.87544537495459e-06,0.002113472,0.8384820381461857,3.138245199665381e-05,0.034565869157741694,0.12480036320326014,,,,,,,,
,,,,,,,,,,,,,,
MIS_IA,6,6,7,4,4,5,,,,,,,,
6.032170011,0.000111166,0.9672353145266586,0.032472955,1.5764934001524566e-05,0.000106615,5.818481135822397e-05,,,,,,,,
,,,,,,,,,,,,,,
MIS_MIDA,6,6,6,4,,,,,,,,,,
5.999735404,0.000296058,0.9984910032057187,0.001080641,0.000132298,,,,,,,,,,
,,,,,,,,,,,,,,
WECC_PNW,7,6,0,0,7,,,,,,,,,
4.562665031,0.006540121,0.027747761771587737,1.6828313333118198e-06,0.34422506107780904,0.6214853736580509,,,,,,,,,
,,,,,,,,,,,,,,
WECC_MT,6,0,4,,,,,,,,,,,
0.000680218,6.889381228548998e-05,0.9998643923930812,6.671379463330874e-05,,,,,,,,,,,
,,,,,,,,,,,,,,
NY_Z_J,4,,,,,,,,,,,,,
4,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,
NY_Z_K,4,,,,,,,,,,,,,
4,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,
NY_Z_A,4,,,,,,,,,,,,,
4,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,
NY_Z_B,4,,,,,,,,,,,,,
4,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,
NY_Z_C&E,4,6,,,,,,,,,,,,
4.000162783,0.9999186084729562,8.139152704384564e-05,,,,,,,,,,,,
,,,,,,,,,,,,,,
NY_Z_D,4,6,,,,,,,,,,,,
4.000408811,0.9997955946802966,0.000204405,,,,,,,,,,,,
,,,,,,,,,,,,,,
NY_Z_F,4,6,,,,,,,,,,,,
4.0010839,0.9994580501544775,0.00054195,,,,,,,,,,,,
,,,,,,,,,,,,,,
NY_Z_G-I,6,7,4,6,,,,,,,,,,
4.005992073,0.000330032,0.001721295,0.9978646111095723,8.406204782661417e-05,,,,,,,,,,
,,,,,,,,,,,,,,
PJM_COMD,6,7,6,5,,,,,,,,,,
6.000093064,0.9997984334562753,0.000107064,8.050218402627775e-05,1.4000404746269195e-05,,,,,,,,,,
,,,,,,,,,,,,,,
PJM_Dom,6,6,5,5,6,,,,,,,,,
5.001209719,0.000759313,0.000425233,0.041039114,0.9577511674075199,2.51725843324879e-05,,,,,,,,,
,,,,,,,,,,,,,,
PJM_WMAC,7,4,6,,,,,,,,,,,
6.000211152,0.00031661,5.272898738510429e-05,0.9996306606447527,,,,,,,,,,,
,,,,,,,,,,,,,,
PJM_EMAC,0,6,7,4,6,5,,,,,,,,
6.185994428,0.061849412,0.043874805166358166,0.5594108586764857,0.000159335,0.3327043016449181,0.002001287,,,,,,,,
,,,,,,,,,,,,,,
PJM_SMAC,6,6,5,,,,,,,,,,,
5.99940996,0.11693064733510694,0.8824793121730914,0.00059004,,,,,,,,,,,
,,,,,,,,,,,,,,
PJM_PECO,0,7,6,,,,,,,,,,,
5.996634046,0.000766055,0.001230379,0.9980035660881099,,,,,,,,,,,
,,,,,,,,,,,,,,
PJM_PENE,4,6,,,,,,,,,,,,
5.997069438,0.001465281,0.9985347190952989,,,,,,,,,,,,
,,,,,,,,,,,,,,
PJM_0,0,6,7,5,,,,,,,,,,
2.602694418,0.5620638860631119,0.41251079902130977,0.000251525,0.025173790401977696,,,,,,,,,,
,,,,,,,,,,,,,,
PJM_NJCoast,0,7,6,,,,,,,,,,,
6.989799347,0.000219723,0.9911176870713313,0.00866259,,,,,,,,,,,
,,,,,,,,,,,,,,
PJM_NJLand,7,4,6,,,,,,,,,,,
6.991512877,0.9950066820093727,0.001746902,0.003246416,,,,,,,,,,,
,,,,,,,,,,,,,,
PJM_West,7,6,6,5,6,7,5,6,,,,,,
5.561157928,0.1245341531093547,0.11958726088878557,0.023801346397430114,2.0114658753995124e-05,0.5460275834516402,0.00162216,0.099049528,0.085357853,,,,,,
,,,,,,,,,,,,,,
PJM_AP,6,4,6,6,5,6,,,,,,,,
5.917177378,0.1311547870197498,3.736949254255811e-05,4.97161646829342e-05,0.5712347365912207,0.082747883,0.21477550793683506,,,,,,,,
,,,,,,,,,,,,,,
PJM_ATSI,7,6,6,6,6,,,,,,,,,
6.000006184,6.183957233512458e-06,0.000193993,0.925660559,0.073980994,0.00015827,,,,,,,,,
,,,,,,,,,,,,,,
WECC_CO,3,7,6,5,6,4,,,,,,,,
3.000056299,0.9999774577858185,3.384667158782579e-06,9.419212370288741e-06,4.064943610048604e-06,3.496994200944774e-07,5.3236916222794225e-06,,,,,,,,
,,,,,,,,,,,,,,
WECC_WY,3,6,0,6,4,6,4,,,,,,,
4.009471224,3.091300527634779e-06,8.437702562987657e-05,9.99694410667493e-05,0.004852059,0.2251802866794892,6.611779184667855e-07,0.7697795558450861,,,,,,,
,,,,,,,,,,,,,,
SPP_N,3,7,4,6,,,,,,,,,,
5.658537317,9.344796773565143e-06,0.5528044813259723,0.4471195648396545,6.660903759960519e-05,,,,,,,,,,
,,,,,,,,,,,,,,
SPP_WAUE,6,7,0,6,5,4,,,,,,,,
4.48324333,0.000121422,0.080971872,0.015983792733318257,8.837122598458875e-05,0.30384329903498386,0.5989912431894889,,,,,,,,
,,,,,,,,,,,,,,
SPP_NEBR,3,6,7,4,6,4,,,,,,,,
6.001916751,6.86811402055579e-07,0.000266842,0.002397185,3.721374503853513e-05,0.9970961001807983,0.000201973,,,,,,,,
,,,,,,,,,,,,,,
SPP_WEST,7,6,7,4,4,5,6,,,,,,,
5.398191878,0.20568101787978882,3.5005892363977636e-06,6.0042305983952096e-05,0.047181945,0.023193767032079753,0.6667977570835245,0.05708197,,,,,,,
,,,,,,,,,,,,,,
SPP_SPS,3,7,5,5,6,,,,,,,,,
5.687060554,1.1631610925142778e-05,0.000246716,0.28422172,0.028929547,0.6865903845233329,,,,,,,,,
,,,,,,,,,,,,,,
S_VACA,4,5,6,7,5,,,,,,,,,
5.326642097,0.010412872949475672,0.6524018454289445,0.3370060579150624,2.445615903114203e-05,0.000154768,,,,,,,,,
,,,,,,,,,,,,,,
S_D_AECI,7,6,6,6,4,6,7,,,,,,,
4.002119388,0.000166238,0.000101445,0.000391537,0.000138776,0.999068832,4.235895645181433e-05,9.081341809597304e-05,,,,,,,
,,,,,,,,,,,,,,
S_SOU,4,6,4,7,6,,,,,,,,,
