State,State Tax Rate [%],Marginal Energy Cost [mills/kWh],Reliability Cost [mills/kWh],REC Cost [mills/kWh],Transmission [mills/kWh],Distribution [mills/kWh],Marginal Energy Cost and Reliability Cost [mills/kWh],Competitive Generation Cost [mills/kWh],Final Cost [mills/kWh],Final Cost [$/kWh]
Alabama,4.0,28.804833977895782,16.16192359269362,5.8429470302157865e-08,13.150893367380188,27.19379568502572,44.9667575705894,46.76542793417963,87.11011698658554,0.08711011698658554
Arizona,5.6,27.219463334451753,13.058101803218925,7.121773862351869e-06,25.540630011344877,32.88000619274456,40.27756513767068,42.53311630597344,100.95375251006287,0.10095375251006287
Arkansas,6.5,24.55969788707178,11.302562163557704,1.5656562861373628e-06,28.667094124199572,26.71146331787254,35.86226005062949,38.19330862134434,93.57186606341645,0.09357186606341646
California,7.25,28.065000224028385,15.119752276426883,1.2547555336957648e-05,21.74470270059735,69.93395397610395,43.18475250045527,46.315660513991375,137.99431719069267,0.13799431719069266
Colorado,2.9,24.108079706095364,13.095847142241855,1.1999760884565767e-05,18.63910160500553,31.62591321517177,37.20392684833722,38.282853074692945,88.54786789487025,0.08854786789487025
Connecticut,6.35,23.488120819031757,24.41119855734281,0.0024956422373540966,147.9978517504836,73.4432187059949,47.899319376374564,50.94358027229377,272.38465072877227,0.27238465072877227
Delaware,0.0,25.179772835935218,11.962281483366972,0.6509485571072304,69.32581952880282,49.93491843695398,37.14205431930219,37.79300287640942,157.05374084216623,0.15705374084216622
Florida,6.0,29.418344396319075,14.69948259898745,3.200253945745923e-08,11.505422898050542,31.4240562524789,44.11782699530652,46.764896648947605,89.69437579947704,0.08969437579947705
Georgia,4.0,29.23097906765648,16.540082203282935,5.5735314727820514e-08,13.56177684123242,28.932430384675243,45.77106127093941,47.60190377974172,90.09611100564938,0.09009611100564938
Idaho,6.0,26.65583801287433,14.55926949982551,6.686566187175257e-06,16.260634891457862,32.01533544665144,41.21510751269984,43.68802105122199,91.96399138933128,0.09196399138933128
Illinois,6.25,26.08036730519501,13.757250008184577,0.3201229498208298,13.99611272887293,30.70624286044477,39.83761731337959,42.66759902965044,87.36995461896814,0.08736995461896814
Indiana,7.0,25.6193373203449,15.645134418325894,0.24322338111101738,13.603366892105607,29.73638285694995,41.26447173867079,44.413233778166536,87.7529835272221,0.0877529835272221
Iowa,6.0,24.745391721353357,13.33865158457576,0.00011657340722051699,19.435076185070724,28.331510020185036,38.084043305929114,40.369209472096514,88.13579567735228,0.08813579567735227
Kansas,6.5,24.32251227498106,11.552601493743273,-5.8868058004045496e-08,28.032301600652413,32.249570735792645,35.87511376872433,38.206996100996925,98.48886843744198,0.09848886843744198
Kentucky,6.0,26.376491536192674,14.240725678745232,0.35183418832799246,13.12806262584757,24.89906779023823,40.61721721493791,43.427194487461854,81.45432490354764,0.08145432490354765
