Region,Marginal Energy Cost [mills/kWh],Reliability Cost [mills/kWh],REC Cost [mills/kWh],Tax Rate [%],Transmission [mills/kWh],Distribution [mills/kWh],Marginal Energy Cost and Reliability Cost [mills/kWh],Competitive Generation Cost [mills/kWh],Final Cost [mills/kWh]
WECC_ID,26.511937218864542,14.969536552278004,7.266925790724493e-06,5.999324743321685,16.087450136789926,31.57094,41.48147377114255,43.97008979388146,91.62847993067139
WECC_UT,26.511937218864542,14.969536552278004,7.266925790724493e-06,5.999854106031903,16.087450136789926,31.57094,41.48147377114255,43.970309381373724,91.62869951816364
WECC_NNV,26.511937218864542,14.969536552278004,7.266925790724493e-06,6.999358514020464,16.087450136789926,31.57094,41.48147377114255,44.38491861284816,92.04330874963809
WECC_SNV,26.511937218864542,14.969536552278004,7.266925790724493e-06,6.999942905620816,16.087450136789926,31.57094,41.48147377114255,44.38516102713904,92.04355116392897
WEC_CALN,28.213764280087783,16.474711916400615,8.518330135602446e-06,6.999999999999999,19.514232679544595,64.41951,44.688476196488395,47.81667864485583,131.75042132440043
WEC_BANC,28.213764280087783,16.474711916400615,8.518330135602446e-06,7.0,19.514232679544595,64.41951,44.688476196488395,47.81667864485583,131.75042132440043
WECC_SCE,28.112202462951732,14.34306422547102,1.5270557021695477e-05,6.999998754617411,23.271380053784803,74.22089,42.45526668842275,45.427151167377666,142.91942122116248
WEC_LADW,28.112202462951732,14.34306422547102,1.5270557021695477e-05,7.0,23.271380053784803,74.22089,42.45526668842275,45.42715169610836,142.91942174989316
WECC_SDGE,28.112202462951732,14.34306422547102,1.5270557021695477e-05,7.0,23.271380053784803,74.22089,42.45526668842275,45.42715169610836,142.91942174989316
FRCC,29.42506813101893,14.596689144871343,3.0783799271740384e-08,5.999939372083589,11.390452563146614,31.54133,44.02175727589027,46.663036055600294,89.5948186187469
NENG_ME,23.67300217183689,24.60677372255192,2.486877442851723e-05,5.997505935793758,149.17510031654908,74.02329,48.27977589438881,51.17538467972336,274.37377499627246
NENGREST,23.67300217183689,24.60677372255192,2.486877442851723e-05,5.012716046597781,149.17510031654908,74.02329,48.27977589438881,50.69993008328377,273.89832039983287
NENG_CT,23.67300217183689,24.60677372255192,2.486877442851723e-05,5.999342817289057,149.17510031654908,74.02329,48.27977589438881,51.176271522449554,274.37466183899863
