Resource,Zone,AnnualSum,Capacity,CapacityFactor
natural_gas_combined_cycle,1,1.5449667206437543e7,14507.074070665292,0.12157245709323139
solar_pv,1,5.335893636833039e7,34967.612017343665,0.17419556070204867
onshore_wind,1,5.422729811118949e7,27231.43101704839,0.22732300886924306
battery,1,3.1581810738244087e7,11341.397715842679,0.0
