region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
NE,natural_gas_combined_cycle,1,1,1,9.487626442215116e8,0.0,1.4923427096493408e8,0.0,5.4846318582853034e7,3.1424674368236154e8,0.0,5.5769075012449734e7,0.0,4.198420689036321e9,0.0,1.097996915186448e9,0.0,3.773558551758651e9,0.0,5.296417604222769e9,5.29641760422276e9,8.58306884765625e-6
NE,solar_pv,1,1,2,2.982737305079402e9,0.0,6.559924014453645e8,0.0,0.0,0.0,0.0,0.0,0.0,3.499858714019472e9,0.0,1.388709925053177e8,0.0,0.0,0.0,3.63872970652479e9,3.6387297065247664e9,2.3365020751953125e-5
NE,onshore_wind,1,1,3,2.6468950948570943e9,0.0,1.1765339770915716e9,0.0,5.422729811118955e6,0.0,0.0,0.0,0.0,3.8191564705898414e9,0.0,9.695331169922134e6,0.0,0.0,0.0,3.8288518017597637e9,3.8288518017597847e9,-2.09808349609375e-5
NE,battery,1,0,4,2.2210993286706188e8,1.0516892284111302e9,5.551614181904963e7,2.6285217578587058e8,4.737271610736579e6,0.0,5.596965513630019e6,0.0,8.598223580770482e8,2.168992065872454e9,0.0,1.1755105134206262e8,0.0,0.0,0.0,2.2865431172145166e9,2.462324074084527e9,-1.7578095687001038e8
