Region,Resource,Zone,Cluster,CapRes_1,AnnualSum
NE,natural_gas_combined_cycle,1,1,1.0979969151864467e9,1.0979969151864467e9
NE,solar_pv,1,1,1.3887099250531822e8,1.3887099250531822e8
NE,onshore_wind,1,1,9.695331169922166e6,9.695331169922166e6
NE,battery,1,0,1.175510513420636e8,1.175510513420636e8
