Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,Total
Zone,1,1,1,1,0
AnnualSum,0.0,0.0,0.0,3.319725696650503e7,3.319725696650503e7
t1,0.0,0.0,0.0,10395.846513525625,10395.846513525625
t2,0.0,0.0,0.0,10395.846513525625,10395.846513525625
t3,0.0,0.0,0.0,10395.846513525625,10395.846513525625
t4,0.0,0.0,0.0,258.9232567628121,258.9232567628121
t5,0.0,0.0,0.0,276.42325676281223,276.42325676281223
t6,0.0,0.0,0.0,9971.224776030891,9971.224776030891
t7,0.0,0.0,0.0,6070.498594186698,6070.498594186698
t8,0.0,0.0,0.0,-0.0,0.0
t9,0.0,0.0,0.0,2391.5900343673356,2391.5900343673356
t10,0.0,0.0,0.0,6123.420713718072,6123.420713718072
t11,0.0,0.0,0.0,8323.977882808933,8323.977882808933
t12,0.0,0.0,0.0,9431.607321005877,9431.607321005877
t13,0.0,0.0,0.0,8996.208240582757,8996.208240582757
t14,0.0,0.0,0.0,8586.416227264755,8586.416227264755
t15,0.0,0.0,0.0,7133.703501918223,7133.703501918223
t16,0.0,0.0,0.0,5630.332817117431,5630.332817117431
t17,0.0,0.0,0.0,1719.2797792637898,1719.2797792637898
t18,0.0,0.0,0.0,-0.0,0.0
t19,0.0,0.0,0.0,8406.139960017403,8406.139960017403
t20,0.0,0.0,0.0,-0.0,0.0
t21,0.0,0.0,0.0,-0.0,0.0
t22,0.0,0.0,0.0,10395.846513525625,10395.846513525625
t23,0.0,0.0,0.0,-0.0,0.0
t24,0.0,0.0,0.0,10079.812247307036,10079.812247307036
t25,0.0,0.0,0.0,8362.920830787058,8362.920830787058
t26,0.0,0.0,0.0,10395.846513525625,10395.846513525625
t27,0.0,0.0,0.0,565.9232567628126,565.9232567628126
t28,0.0,0.0,0.0,10395.846513525625,10395.846513525625
t29,0.0,0.0,0.0,2705.72635524237,2705.72635524237
t30,0.0,0.0,0.0,10395.846513525625,10395.846513525625
t31,0.0,0.0,0.0,8944.876843195927,8944.876843195927
t32,0.0,0.0,0.0,7067.778166840866,7067.778166840866
t33,0.0,0.0,0.0,1702.0656649512537,1702.0656649512537
t34,0.0,0.0,0.0,4210.0506012553715,4210.0506012553715
t35,0.0,0.0,0.0,6369.731510106039,6369.731510106039
t36,0.0,0.0,0.0,7371.958366698718,7371.958366698718
t37,0.0,0.0,0.0,7477.234555500667,7477.234555500667
t38,0.0,0.0,0.0,7043.462005470452,7043.462005470452
t39,0.0,0.0,0.0,5887.308596198652,5887.308596198652
t40,0.0,0.0,0.0,3413.0227626038713,3413.0227626038713
t41,0.0,0.0,0.0,7847.642871630989,7847.642871630989
t42,0.0,0.0,0.0,5630.332817117431,5630.332817117431
t43,0.0,0.0,0.0,5630.332817117431,5630.332817117431
t44,0.0,0.0,0.0,5630.332817117431,5630.332817117431
t45,0.0,0.0,0.0,5630.332817117431,5630.332817117431
t46,0.0,0.0,0.0,-0.0,0.0
t47,0.0,0.0,0.0,-0.0,0.0
t48,0.0,0.0,0.0,10395.846513525625,10395.846513525625
t49,0.0,0.0,0.0,4227.903737882073,4227.903737882073
t50,0.0,0.0,0.0,-0.0,0.0
t51,0.0,0.0,0.0,7471.214718296732,7471.214718296732
t52,0.0,0.0,0.0,9175.990005317835,9175.990005317835
t53,0.0,0.0,0.0,9388.343054526611,9388.343054526611
t54,0.0,0.0,0.0,10013.697324507997,10013.697324507997
t55,0.0,0.0,0.0,-0.0,0.0
t56,0.0,0.0,0.0,-0.0,0.0
t57,0.0,0.0,0.0,1042.6334398346687,1042.6334398346687
t58,0.0,0.0,0.0,4461.773819076316,4461.773819076316
t59,0.0,0.0,0.0,6672.979266879382,6672.979266879382
t60,0.0,0.0,0.0,7511.660769107157,7511.660769107157
t61,0.0,0.0,0.0,7752.485866277587,7752.485866277587
t62,0.0,0.0,0.0,7373.597899028849,7373.597899028849
t63,0.0,0.0,0.0,6279.773140931052,6279.773140931052
t64,0.0,0.0,0.0,10395.846513525625,10395.846513525625
t65,0.0,0.0,0.0,-0.0,0.0
t66,0.0,0.0,0.0,3362.2704170740203,3362.2704170740203
t67,0.0,0.0,0.0,-0.0,0.0
t68,0.0,0.0,0.0,9064.739120008418,9064.739120008418
t69,0.0,0.0,0.0,7970.158069948905,7970.158069948905
t70,0.0,0.0,0.0,10395.846513525625,10395.846513525625
t71,0.0,0.0,0.0,-0.0,0.0
t72,0.0,0.0,0.0,-0.0,0.0
t73,0.0,0.0,0.0,10395.846513525625,10395.846513525625
t74,0.0,0.0,0.0,1596.8020244775355,1596.8020244775355
t75,0.0,0.0,0.0,9664.034697020701,9664.034697020701
t76,0.0,0.0,0.0,10395.846513525625,10395.846513525625
t77,0.0,0.0,0.0,10395.846513525625,10395.846513525625
t78,0.0,0.0,0.0,10395.846513525625,10395.846513525625
t79,0.0,0.0,0.0,5630.332817117431,5630.332817117431
t80,0.0,0.0,0.0,-0.0,0.0
t81,0.0,0.0,0.0,5936.920356165011,5936.920356165011
t82,0.0,0.0,0.0,4000.1758328030396,4000.1758328030396
t83,0.0,0.0,0.0,6486.335756704887,6486.335756704887
t84,0.0,0.0,0.0,7758.772378017631,7758.772378017631
t85,0.0,0.0,0.0,7776.60458319521,7776.60458319521
t86,0.0,0.0,0.0,7453.520812936235,7453.520812936235
t87,0.0,0.0,0.0,5630.332817117431,5630.332817117431
t88,0.0,0.0,0.0,0.0,0.0
t89,0.0,0.0,0.0,0.0,0.0
t90,0.0,0.0,0.0,0.0,0.0
t91,0.0,0.0,0.0,0.0,0.0
t92,0.0,0.0,0.0,0.0,0.0
t93,0.0,0.0,0.0,0.0,0.0
t94,0.0,0.0,0.0,0.0,0.0
t95,0.0,0.0,0.0,680.0576851262564,680.0576851262564
t96,0.0,0.0,0.0,640.6017479221605,640.6017479221605
t97,0.0,0.0,0.0,0.0,0.0
t98,0.0,0.0,0.0,5127.3118217285655,5127.3118217285655
t99,0.0,0.0,0.0,495.2211069064566,495.2211069064566
t100,0.0,0.0,0.0,2347.164761467175,2347.164761467175
t101,0.0,0.0,0.0,2319.704093858466,2319.704093858466
t102,0.0,0.0,0.0,0.0,0.0
t103,0.0,0.0,0.0,0.0,0.0
t104,0.0,0.0,0.0,0.0,0.0
t105,0.0,0.0,0.0,0.0,0.0
t106,0.0,0.0,0.0,1157.7792724819424,1157.7792724819424
t107,0.0,0.0,0.0,6651.527130063388,6651.527130063388
t108,0.0,0.0,0.0,10032.070262539271,10032.070262539271
t109,0.0,0.0,0.0,9286.1257245447,9286.1257245447
t110,0.0,0.0,0.0,5226.6371626044975,5226.6371626044975
t111,0.0,0.0,0.0,10243.917974567206,10243.917974567206
t112,0.0,0.0,0.0,4610.5282125130825,4610.5282125130825
t113,0.0,0.0,0.0,10395.846513525625,10395.846513525625
t114,0.0,0.0,0.0,4148.137407014636,4148.137407014636
t115,0.0,0.0,0.0,7112.528227220225,7112.528227220225
t116,0.0,0.0,0.0,0.0,0.0
t117,0.0,0.0,0.0,203.94247101231366,203.94247101231366
t118,0.0,0.0,0.0,0.0,0.0
t119,0.0,0.0,0.0,0.0,0.0
t120,0.0,0.0,0.0,0.0,0.0
t121,0.0,0.0,0.0,157.20305704576498,157.20305704576498
t122,0.0,0.0,0.0,0.0,0.0
t123,0.0,0.0,0.0,0.0,0.0
t124,0.0,0.0,0.0,0.0,0.0
t125,0.0,0.0,0.0,0.0,0.0
t126,0.0,0.0,0.0,0.0,0.0
t127,0.0,0.0,0.0,0.0,0.0
t128,0.0,0.0,0.0,0.0,0.0
t129,0.0,0.0,0.0,1225.5175664176627,1225.5175664176627
t130,0.0,0.0,0.0,9358.568445309715,9358.568445309715
t131,0.0,0.0,0.0,9429.565241010328,9429.565241010328
t132,0.0,0.0,0.0,10395.846513525625,10395.846513525625
t133,0.0,0.0,0.0,8217.52376794028,8217.52376794028
t134,0.0,0.0,0.0,9250.601941620282,9250.601941620282
t135,0.0,0.0,0.0,5630.332817117431,5630.332817117431
t136,0.0,0.0,0.0,0.0,0.0
t137,0.0,0.0,0.0,0.0,0.0
t138,0.0,0.0,0.0,0.0,0.0
t139,0.0,0.0,0.0,0.0,0.0
t140,0.0,0.0,0.0,0.0,0.0
t141,0.0,0.0,0.0,0.0,0.0
t142,0.0,0.0,0.0,0.0,0.0
t143,0.0,0.0,0.0,0.0,0.0
t144,0.0,0.0,0.0,1318.9891606943936,1318.9891606943936
t145,0.0,0.0,0.0,813.3426400355614,813.3426400355614
t146,0.0,0.0,0.0,3951.218179385841,3951.218179385841
t147,0.0,0.0,0.0,6381.574035782402,6381.574035782402
t148,0.0,0.0,0.0,5468.8948076223605,5468.8948076223605
t149,0.0,0.0,0.0,860.1176672828843,860.1176672828843
t150,0.0,0.0,0.0,0.0,0.0
t151,0.0,0.0,0.0,0.0,0.0
t152,0.0,0.0,0.0,0.0,0.0
t153,0.0,0.0,0.0,0.0,0.0
t154,0.0,0.0,0.0,7590.268312232382,7590.268312232382
t155,0.0,0.0,0.0,7152.7277017979895,7152.7277017979895
t156,0.0,0.0,0.0,10395.846513525625,10395.846513525625
t157,0.0,0.0,0.0,8970.674646048828,8970.674646048828
t158,0.0,0.0,0.0,10261.18438538033,10261.18438538033
t159,0.0,0.0,0.0,6954.035622327646,6954.035622327646
t160,0.0,0.0,0.0,5630.332817117431,5630.332817117431
t161,0.0,0.0,0.0,-0.0,0.0
t162,0.0,0.0,0.0,-0.0,0.0
t163,0.0,0.0,0.0,10395.846513525625,10395.846513525625
t164,0.0,0.0,0.0,9954.428420663613,9954.428420663613
t165,0.0,0.0,0.0,-0.0,0.0
t166,0.0,0.0,0.0,-0.0,0.0
t167,0.0,0.0,0.0,-0.0,0.0
t168,0.0,0.0,0.0,10395.846513525625,10395.846513525625
t169,0.0,0.0,0.0,1596.8020244775355,1596.8020244775355
t170,0.0,0.0,0.0,10395.846513525625,10395.846513525625
t171,0.0,0.0,0.0,10395.846513525625,10395.846513525625
