Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
natural_gas_combined_cycle,1,0.0,0.0,14930.040193192295,14930.040193192295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_pv,1,0.0,0.0,31958.030102355522,31958.030102355522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
onshore_wind,1,0.0,0.0,31007.62921955255,31007.62921955255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery,1,0.0,0.0,10395.846513525625,10395.846513525625,0.0,0.0,38257.05853447332,38257.05853447332,0.0,0.0,0.0,0.0
Total,n/a,0.0,0.0,88291.54602862599,88291.54602862599,0.0,0.0,38257.05853447332,38257.05853447332,0.0,0.0,0.0,0.0
