Region,Resource,Zone,Cluster,CapRes_1,AnnualSum
NE,natural_gas_combined_cycle,1,1,1.1300099521021445e9,1.1300099521021445e9
NE,solar_pv,1,1,1.335301538541967e8,1.335301538541967e8
NE,onshore_wind,1,1,1.0005368982501177e7,1.0005368982501177e7
NE,battery,1,0,1.0061292511648151e8,1.0061292511648151e8
